"year","name","total","sd","upp50","lwr50","upp80","lwr80"
2019,"Hungary",216290.36806763,55564.4959918358,250541.099825253,189198.383878387,297356.194168406,169234.09412597
2019,"Ireland",423776.203296863,59028.7296434055,465038.858388118,387906.320115404,511038.137388349,353386.328106107
2019,"Italy",1682593.22135467,307102.959800432,1869604.61679263,1471371.99977736,2124522.08447801,1347051.69039141
2019,"Latvia",20824.0981248001,3182.03216527768,22909.9427468604,18853.7611675894,25685.4880218028,17575.6196046153
2019,"Lithuania",18532.53941168,2238.36470854507,20306.8715429457,17411.9280147618,21793.1562422131,16424.1243052822
2019,"Luxembourg",177510.063441629,24786.6944085862,196096.880763695,165352.217833779,215928.274442903,154029.308450864
2019,"Malta",42036.3104795127,6607.56161484569,46783.3374210627,37460.4215025827,51573.5365626551,35051.1052715644
2019,"Netherlands",497783.278690708,58549.070329982,539987.099433597,463752.69687262,575453.481837511,436658.057093305
2019,"Poland",120026.744379853,16238.8422580795,131296.643734656,109850.588725492,139571.918488779,100338.592203986
2019,"Portugal",201039.657727402,38040.2234270852,228397.916144158,178555.842048178,256026.84767715,161134.445928236
2019,"Romania",74935.9473124815,9794.36877494908,80437.468050533,68762.3567549934,88137.1203543105,64718.2706461918
2019,"Slovakia",130336.931720711,24451.3527046812,144660.392677141,114067.008730278,164646.879747811,104462.126107228
2019,"Slovenia",81899.5398058592,24562.1339359491,98233.0389271813,68381.788970984,119893.607900622,61211.0404905836
2019,"Spain",1618338.23402783,237224.796625932,1771171.42797395,1468774.77085238,1925716.68521702,1351811.47240753
2019,"Sweden",386856.911179758,39446.0229417319,413090.267613833,362338.708409958,436531.061128782,338262.872391134
2019,"United Kingdom",2633140.45738817,323183.632482282,2873431.69059175,2442710.6446689,3061516.12543208,2248857.3236492
